Item,Type,Attune,Restrictions,Source
Armor of gleaming,Armor,N,All,xge 136
Bead of nourishment,Wondrous item,N,All,xge 136
Bead of refreshment,Wondrous item,N,All,xge 136
Boots of false tracks,Wondrous item,N,All,xge 136
Candle of the deep,Wondrous item,N,All,xge 136
Cast-off armor,Armor,N,All,xge 136
Charlatan's Die,Wondrous item,Y,All,xge 136
Cloak of billowing,Wondrous item,N,All,xge 136
Cloak of many fashions,Wondrous item,N,All,xge 136
Clockwork amulet,Wondrous item,N,All,xge 137
Clothes of mending,Wondrous item,N,All,xge 137
Dark shard amulet,Wondrous item,Y,Warlock,xge 137
Dread helm,Wondrous item,N,All,xge 137
Ear horn of hearing,Wondrous item,N,All,xge 137
Enduring spellbook,Wondrous item,N,All,xge 137
Ersatz eye,Wondrous item,Y,All,xge 137
Hat of vermin,Wondrous item,N,All,xge 137
Hat of wizardry,Wondrous item,Y,Wizard,xge 137
Heward's handy spice pouch,Wondrous item,N,All,xge 137
Horn of silent alarm,Wondrous item,N,All,xge 137
Instrument of illusions,Wondrous item,Y,All,xge 137
Instrument of scribing,Wondrous item,Y,All,xge 138
Lock of trickery,Wondrous item,N,All,xge 138
Moon-touched sword,Weapon,N,All,xge 138
Mystery key,Wondrous item,N,All,xge 138
Orb of direction,Wondrous item,N,All,xge 138
Orb of time,Wondrous item,N,All,xge 138
Perfume of bewitching,Wondrous item,N,All,xge 138
Pipe of smoke monsters,Wondrous item,N,All,xge 138
Pole of angling,Wondrous item,N,All,xge 138
Pole of collapsing,Wondrous item,N,All,xge 138
Pot of awakening,Wondrous item,N,All,xge 138
Potion of climbing,Potion,N,All,dmg 187
Potion of healing,Potion,N,All,dmg 187
Rope of mending ,Wondrous item,N,All,xge 138
Ruby of the war mage,Wondrous item,Y,Spellcaster,xge 138
Shield of expression,Armor,N,All,xge 139
Smoldering armor,Armor,N,All,xge 139
Spell scroll (cantrip),Scroll,N,All,dmg 200
Spell scroll (1st level),Scroll,N,All,dmg 200
Staff of adornment,Staff,N,All,xge 139
Staff of birdcalls,Staff,N,All,xge 139
Staff of flowers,Staff,N,All,xge 139
Talking doll,Wondrous item,Y,All,xge 139
Tankard of sobriety,Wondrous item,N,All,xge 139
Unbreakable arrow,Weapon,N,All,xge 139
Veteran's cane,Wondrous item,N,All,xge 139
Walloping ammunition,Weapon,N,All,xge 139
Wand of conducting,Wand,N,All,xge 140
Wand of pyrotechnics,Wand,N,All,xge 140
Wand of scowls,Wand,N,All,xge 140
Wand of smiles,Wand,N,All,xge 140
