Item,Type,Attune,Restrictions,Source
Ammunition +3,Weapon,N,Any ammunition,dmg 150
Arrow of slaying,Weapon,N,Arrow,dmg 152
Bag of devouring,Wondrous item,N,All,dmg 153
Horseshoes of a zephyr,Wondrous item,N,All,dmg 175
Nolzur's marvelous pigments,Wondrous item,N,All,dmg 183
Oil of sharpness,Potion,N,All,dmg 184
Potion of cloud giant strength,Potion,N,All,dmg 187
Potion of flying,Potion,N,All,dmg 187
Potion of invisibility,Potion,N,All,dmg 188
Potion of longevity,Potion,N,All,dmg 188
Potion of speed,Potion,N,All,dmg 188
Potion of supreme healing,Potion,N,All,dmg 187
Potion of vitality,Potion,N,All,dmg 188
Spell scroll (6th level),Scroll,N,All,dmg 200
Spell scroll (7th level),Scroll,N,All,dmg 200
Spell scroll (8th level),Scroll,N,All,dmg 200
